true I nm,predicted I nm
534.908,532.6086218468091
475.179,531.7419074614824
531.453,531.8774930625938
529.378,532.4506840844574
533.872,533.1645063265587
530.07,532.3485790101913
530.07,525.9953563946805
535.943,533.0377696493629
530.07,527.1639233577188
535.598,532.0163518362195
531.107,531.3744602867964
532.835,532.5861202301764
531.799,531.7732463054508
533.181,532.1083778175082
533.526,532.7365729979991
531.107,531.6853738843795
528.339,528.2665381621157
533.526,533.1509898233962
531.107,533.2312309422978
535.253,532.531076200063
531.453,530.3482082891412
531.107,530.6501585966811
531.453,532.2943225830257
539.047,530.7136154639111
534.562,529.5396945356844
530.07,528.7358629061795
531.799,533.2524464475132
534.562,532.8721273692121
535.253,531.6786467714144
533.526,532.8792000325783
536.288,533.161824164589
534.217,532.3200764191963
532.835,533.1115707992601
531.799,532.1939074233958
534.908,528.7687144673729
537.668,532.7847951954927
531.453,529.9387111679291
530.07,533.397733102453
530.761,533.2299315999278
535.253,531.4282503493034
536.978,530.189347833694
533.526,533.5607888418247
532.144,532.1348501035479
531.107,533.8501194249957
531.453,531.5664663050145
