true coef A,predicted coef A
-2.5877558458951825e-05,-6.628110599093648e-05
0.0,-7.113565811222635e-05
-3.7353392324370886e-05,-5.656365142120148e-05
-7.967960494471488e-05,-4.5520603787390085e-05
-1.6501205181456322e-05,-5.041379616109173e-05
-5.970925029492162e-05,-6.311085642638387e-05
-8.34224699541146e-05,-5.7845320428595115e-05
-2.513676672928582e-05,-5.4072955549558824e-05
-7.038413070602262e-05,-6.059116820268986e-05
-7.160845496355967e-05,-5.9718095146061406e-05
-4.342833094343901e-05,-6.335938557448802e-05
-4.587936338441989e-05,-4.356848329779405e-05
-4.691314331478452e-05,-6.257970706302774e-05
-3.4214961476885746e-05,-5.2914406589609896e-05
-3.279828140994749e-05,-5.216573037833295e-05
-7.573118619995919e-05,-6.548011433435987e-05
-8.641170003477378e-05,-5.9688147968455524e-05
-7.240552777157203e-05,-4.544866479180673e-05
-3.436245359173075e-05,-4.816811488286969e-05
-4.0327408977742645e-05,-4.6219591048334034e-05
-5.6722982706632055e-05,-6.020429445312538e-05
-5.297674190454571e-05,-6.104903084820751e-05
-8.682109223293059e-05,-5.9055276007554705e-05
-7.984266681982113e-05,-5.909899074827564e-05
-0.00010468874339067597,-6.185161789352844e-05
-7.512697341134991e-05,-5.6797999831764736e-05
-4.268163087564714e-05,-4.880397261635125e-05
-8.80158355513389e-05,-5.8375215513696315e-05
-0.00010864671554313226,-5.4857862398539035e-05
-3.965017668611751e-05,-5.947183310810727e-05
-4.188073632052133e-05,-5.609401339696468e-05
-2.0996622020384544e-05,-4.512804154792038e-05
-1.5489869825925263e-05,-4.987229324204328e-05
-3.6769097573192486e-05,-5.606106984508867e-05
-8.536441260787556e-05,-6.053886779220695e-05
-0.000108227646642918,-4.030469855856289e-05
-4.512521780218421e-05,-6.144035393689441e-05
-5.0372754312048395e-05,-6.232104788454407e-05
-5.4571562959693954e-05,-6.220988224498627e-05
-8.359036849400813e-05,-6.307632411210372e-05
-8.012632143754123e-05,-5.7870738043735013e-05
-5.624527046803784e-05,-5.4060673630416795e-05
-3.3382309782548775e-05,-4.8432969260769966e-05
-5.1488143751752065e-05,-4.553279902809361e-05
-5.762936627570949e-05,-6.255153405654533e-05
