true I nm,predicted I nm
510.276,508.158122478158
542.147,507.0787448505751
506.787,508.84720140107584
504.692,509.4794873312254
509.229,508.99158033655004
505.39,508.574438508032
505.39,510.62329542175974
511.321,508.594300295675
505.39,510.8564895832762
510.973,508.0525030103193
506.438,508.85553077848056
508.183,508.5305023073109
507.136,509.0537972317663
508.532,509.013226302344
508.881,508.1616731978901
506.438,509.33953473605106
503.643,510.548918214847
508.881,508.4983831232404
506.438,508.6941065695647
510.624,508.6344244721311
506.787,508.6743793320731
506.438,509.3408270680749
506.787,508.19572698417994
514.456,507.90362545405986
509.927,508.8977510482805
505.39,510.281938975677
507.136,508.70771715850725
509.927,508.5355291900365
510.624,509.0033177894831
508.881,508.8419162952441
511.67,508.7070443583804
509.578,508.60064249313183
508.183,509.2944077185663
507.136,509.0656262996032
510.276,509.3141280937567
513.063,508.2014967362064
506.787,509.4345034121595
505.39,508.95373942523975
506.089,508.9028726880677
510.624,508.93955176987384
512.366,508.6888371646446
508.881,509.23353793762936
507.485,508.6547261571321
506.438,509.5105043083537
506.787,508.3592847983429
